-619045.4760755629	  inf
-443506.5445064200	2.83564e-01
-432891.1180064286	2.39352e-02
-426548.3473130687	1.46521e-02
-421938.3659793165	1.08076e-02
-418587.3124334437	7.94205e-03
-416094.0630105845	5.95634e-03
-414179.9681485944	4.60015e-03
-412672.7833031287	3.63896e-03
-411441.0758056885	2.98471e-03
-410388.0065192318	2.55947e-03
-409456.0657979402	2.27088e-03
-408618.7163405186	2.04503e-03
-407863.1801709430	1.84900e-03
-407185.7429487731	1.66094e-03
-406580.8626101495	1.48551e-03
-406047.3880089081	1.31210e-03
-405580.9909287632	1.14863e-03
-405174.5646962897	1.00208e-03
-404824.7937828404	8.63260e-04
-404522.8936451960	7.45755e-04
-404260.5651712414	6.48489e-04
-404035.1902419669	5.57499e-04
-403845.6881134774	4.69024e-04
-403685.1602742303	3.97498e-04
-403550.7360940765	3.32993e-04
-403435.9911638692	2.84338e-04
-403335.6493927481	2.48718e-04
-403246.0924002768	2.22041e-04
-403166.1416143432	1.98268e-04
-403094.0290413473	1.78866e-04
-403029.9280667470	1.59022e-04
-402971.7423421358	1.44371e-04
-402920.3308906634	1.27581e-04
-402873.5481302130	1.16109e-04
-402828.8014557317	1.11069e-04
-402786.6470534654	1.04646e-04
-402749.0461532337	9.33519e-05
