-698636.0675813238	  inf
-499000.7477948378	2.85750e-01
-487215.9673430061	2.36168e-02
-481144.1613293029	1.24622e-02
-477279.8394480309	8.03153e-03
-473927.3727227120	7.02411e-03
-470377.1088129934	7.49116e-03
-467001.7833666361	7.17579e-03
-464155.0648368935	6.09573e-03
-461849.0257091958	4.96825e-03
-459972.7395375364	4.06255e-03
-458414.1378934997	3.38847e-03
-457109.5151103727	2.84595e-03
-456030.1597722856	2.36126e-03
-455140.1017462941	1.95175e-03
-454391.1472201271	1.64555e-03
-453760.7760966005	1.38729e-03
-453224.4036381535	1.18206e-03
-452763.6405168487	1.01663e-03
-452363.0731482409	8.84716e-04
-452016.0975517531	7.67029e-04
-451712.6224388595	6.71381e-04
-451449.4297496820	5.82655e-04
-451214.8292949394	5.19661e-04
-450997.2088927231	4.82299e-04
-450802.1287472999	4.32553e-04
-450619.9727676628	4.04071e-04
-450457.4939666569	3.60567e-04
-450320.6953031300	3.03688e-04
-450206.9987078754	2.52479e-04
-450102.6839060503	2.31704e-04
-450006.2960431480	2.14146e-04
-449922.1352274658	1.87021e-04
-449850.1617356164	1.59969e-04
-449794.8813767820	1.22886e-04
-449746.2582001656	1.08101e-04
-449699.5979510715	1.03748e-04
-449657.6155769757	9.33565e-05
